Comune,Provincia,Regione,Elenco pubblicato?,Numero beni trasferiti da Openregio,"Data di pubblicazione, se disponibile",Formato di pubblicazione,"Sono indicati foglio, particella e subpartice","Tipologia dell'immobile È indicato, per ogni bene, se si tratta di un terreno, una villa, un appartamento, un box, un fabbricato rurale ecc.?",Ubicazione È indicato l'indirizzo e il numero civico di ogni bene?, È indicata la consistenza del bene in mq o in ettari?,È specificata quale sia la destinazione del bene tra istituzionale e sociale?,Utilizzazione 1 - È specificato se il bene è già riutilizzato?,Utilizzazione 2 - È indicato l'utilizzo specifico?,È indicata la ragione sociale specifica del soggetto gestore?, È inserito un riferimento all'atto amministrativo di concessione?,È indicato l'oggetto dell'atto di concessione?, È specificata la durata dell'affidamento al concessionario?, Nome Province,Provincia Estesa,Latitudine Provincia,Longitudine Provincia
SAVIGLIANO,CN,Piemonte,si,1,,Pdf - Ricercabile,si,si,si,no,si,si,no,si,si,si,si,CN,Cuneo,44.4,7.55
AMENO,NO,Piemonte,no,1,,,no,no,no,no,no,no,no,no,no,no,no,NO,Novara,45.45,8.6333
BORGOMANERO,NO,Piemonte,si,1,2020-06-30,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,NO,Novara,45.45,8.6333
MIASINO,NO,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,NO,Novara,45.45,8.6333
NOVARA,NO,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,NO,Novara,45.45,8.6333
BANCHETTE,TO,Piemonte,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
BARDONECCHIA,TO,Piemonte,si,6,2019-10-18,Pdf - Ricercabile,si,si,si,si,si,si,si,si,no,si,si,TO,Torino,45.0667,7.7
BEINASCO,TO,Piemonte,si,2,2018-12-30,Pdf - Ricercabile,si,si,si,no,si,si,si,no,no,no,no,TO,Torino,45.0667,7.7
BORGARO TORINESE,TO,Piemonte,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
CARMAGNOLA,TO,Piemonte,si,4,2019-03-12,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,si,no,TO,Torino,45.0667,7.7
CASTIGLIONE TORINESE,TO,Piemonte,no,3,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
CESANA TORINESE,TO,Piemonte,si,5,2019-10-14,Xls,si,si,no,no,si,si,no,si,si,si,si,TO,Torino,45.0667,7.7
CHIVASSO,TO,Piemonte,si,5,2020-02-18,Pdf - Ricercabile,no,si,si,si,si,si,si,si,si,si,si,TO,Torino,45.0667,7.7
COAZZE,TO,Piemonte,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
LEINI,TO,Piemonte,si,5,2019-10-21,Pdf - Ricercabile,si,si,si,si,si,si,no,si,si,si,si,TO,Torino,45.0667,7.7
NICHELINO,TO,Piemonte,si,1,2019-01-15,Pdf - Ricercabile,si,si,si,si,si,si,si,no,no,no,no,TO,Torino,45.0667,7.7
ORBASSANO,TO,Piemonte,no,8,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
PIOSSASCO,TO,Piemonte,si,2,2019-11-07,Xml,si,si,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
SAN CARLO CANAVESE,TO,Piemonte,si,4,2019-10-15,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
SAN MAURIZIO CANAVESE,TO,Piemonte,no,4,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
SAN SEBASTIANO DA PO,TO,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
SETTIMO TORINESE,TO,Piemonte,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
TORINO,TO,Piemonte,si,33,2019-03-01,Pdf - Ricercabile,si,si,si,no,si,si,si,no,si,no,no,TO,Torino,45.0667,7.7
TORRAZZA PIEMONTE,TO,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
VAL DELLA TORRE,TO,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
VENARIA REALE,TO,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
VEROLENGO,TO,Piemonte,si,1,2015-10-12,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,si,TO,Torino,45.0667,7.7
VILLAREGGIA,TO,Piemonte,no,16,,,no,no,no,no,no,no,no,no,no,no,no,TO,Torino,45.0667,7.7
VILLASTELLONE,TO,Piemonte,si,1,2019-02-21,Pdf - Ricercabile,no,si,no,no,si,si,no,no,no,no,no,TO,Torino,45.0667,7.7
VOLPIANO,TO,Piemonte,si,7,2019-04-29,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,TO,Torino,45.0667,7.7
VOLVERA,TO,Piemonte,si,7,2015-10-14,Xml,si,si,si,no,si,si,si,si,si,si,si,TO,Torino,45.0667,7.7
BAVENO,VB,Piemonte,no,4,,,no,no,no,no,no,no,no,no,no,no,no,VB,Verbania,45.9333,8.55
OMEGNA,VB,Piemonte,no,1,,,no,no,no,no,no,no,no,no,no,no,no,VB,Verbania,45.9333,8.55
VERBANIA,VB,Piemonte,no,4,,,no,no,no,no,no,no,no,no,no,no,no,VB,Verbania,45.9333,8.55
CIGLIANO,VC,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VC,Vercelli,45.3333,8.4167
CRESCENTINO,VC,Piemonte,no,4,,,no,no,no,no,no,no,no,no,no,no,no,VC,Vercelli,45.3333,8.4167
GATTINARA,VC,Piemonte,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VC,Vercelli,45.3333,8.4167
VERCELLI,VC,Piemonte,no,3,,,no,no,no,no,no,no,no,no,no,no,no,VC,Vercelli,45.3333,8.4167
ACQUAVIVA DELLE FONTI,BA,Puglia,si,18,2018-02-01,Pdf - Ricercabile,si,si,si,si,si,si,si,si,no,no,no,BA,Bari,41.1167,16.8833
ADELFIA,BA,Puglia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
ALBEROBELLO,BA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
ALTAMURA,BA,Puglia,si,12,2019-01-01,Xls,si,no,si,no,si,no,si,no,si,si,si,BA,Bari,41.1167,16.8833
BARI,BA,Puglia,si,189,2020-07-01,Xls,si,si,si,si,si,si,si,si,si,no,si,BA,Bari,41.1167,16.8833
BITETTO,BA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
BITONTO,BA,Puglia,no,26,,,si,si,si,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
BITRITTO,BA,Puglia,si,12,2017-01-24,Xls,si,si,si,no,si,no,no,no,si,si,no,BA,Bari,41.1167,16.8833
CAPURSO,BA,Puglia,no,12,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
CASAMASSIMA,BA,Puglia,no,12,,,si,no,si,si,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
CASSANO DELLE MURGE,BA,Puglia,no,12,,,si,si,si,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
CASTELLANA GROTTE,BA,Puglia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
CELLAMARE,BA,Puglia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
CONVERSANO,BA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
CORATO,BA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
GIOVINAZZO,BA,Puglia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
GRAVINA IN PUGLIA,BA,Puglia,no,6,,,si,si,si,si,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
GRUMO APPULA,BA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
MODUGNO,BA,Puglia,si,8,,Immagine,si,si,no,si,si,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
MOLFETTA,BA,Puglia,si,5,2019-06-07,Pdf - Immagine,no,si,si,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
MONOPOLI,BA,Puglia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
NOICATTARO,BA,Puglia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
PALO DEL COLLE,BA,Puglia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
POLIGNANO A MARE,BA,Puglia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
PUTIGNANO,BA,Puglia,si,6,2020-08-25,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,si,si,BA,Bari,41.1167,16.8833
SANNICANDRO DI BARI,BA,Puglia,si,5,2020-08-26,Pdf - Ricercabile,si,si,si,no,no,si,si,si,si,no,no,BA,Bari,41.1167,16.8833
SANTERAMO IN COLLE,BA,Puglia,no,18,,,no,no,no,no,no,no,no,no,no,no,no,BA,Bari,41.1167,16.8833
TRIGGIANO,BA,Puglia,si,26,2010-04-15,Pdf - Ricercabile,si,si,no,no,no,no,si,no,si,si,no,BA,Bari,41.1167,16.8833
VALENZANO,BA,Puglia,si,84,,Pdf - Ricercabile,si,si,si,no,no,si,no,no,si,si,no,BA,Bari,41.1167,16.8833
BRINDISI,BR,Puglia,si,145,2018-03-29,Pdf - Ricercabile,si,si,si,no,si,no,no,no,si,no,no,BR,Brindisi,40.65,17.9333
CAROVIGNO,BR,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,BR,Brindisi,40.65,17.9333
CEGLIE MESSAPICA,BR,Puglia,si,17,2017-01-27,Pdf - Ricercabile,si,si,si,si,no,si,si,no,si,si,no,BR,Brindisi,40.65,17.9333
CELLINO SAN MARCO,BR,Puglia,si,3,2018-05-17,Pdf - Ricercabile,si,si,si,si,no,si,no,no,no,no,no,BR,Brindisi,40.65,17.9333
FASANO,BR,Puglia,si,45,2019-10-16,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,si,BR,Brindisi,40.65,17.9333
LATIANO,BR,Puglia,si,1,2018-04-04,Csv,si,si,si,no,si,no,no,no,si,no,no,BR,Brindisi,40.65,17.9333
MESAGNE,BR,Puglia,si,12,2018-12-29,Pdf - Ricercabile,si,si,si,si,si,si,no,si,si,si,no,BR,Brindisi,40.65,17.9333
ORIA,BR,Puglia,si,37,2018-03-26,Doc,si,si,si,si,si,si,si,si,si,si,si,BR,Brindisi,40.65,17.9333
OSTUNI,BR,Puglia,si,33,2019-01-01,Immagine,si,no,si,si,si,no,no,si,si,si,no,BR,Brindisi,40.65,17.9333
SAN DONACI,BR,Puglia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,BR,Brindisi,40.65,17.9333
SAN MICHELE SALENTINO,BR,Puglia,si,20,2020-08-25,Pdf - Ricercabile,no,si,si,si,si,no,si,no,no,no,si,BR,Brindisi,40.65,17.9333
SAN PANCRAZIO SALENTINO,BR,Puglia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,BR,Brindisi,40.65,17.9333
SAN PIETRO VERNOTICO,BR,Puglia,no,15,,,no,no,no,no,no,no,no,no,no,no,no,BR,Brindisi,40.65,17.9333
SAN VITO DEI NORMANNI,BR,Puglia,no,27,,,no,no,no,no,no,no,no,no,no,no,no,BR,Brindisi,40.65,17.9333
TORCHIAROLO,BR,Puglia,si,51,,Xls,si,si,si,si,no,no,no,no,si,no,no,BR,Brindisi,40.65,17.9333
TORRE SANTA SUSANNA,BR,Puglia,si,27,2019-12-04,Pdf - Ricercabile,si,si,si,si,no,si,no,no,no,no,no,BR,Brindisi,40.65,17.9333
VILLA CASTELLI,BR,Puglia,si,8,,Pdf - Ricercabile,no,si,si,no,si,no,no,no,si,no,no,BR,Brindisi,40.65,17.9333
CERIGNOLA,FG,Puglia,si,20,2020-09-11,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,si,FG,Foggia,41.4667,15.55
FOGGIA,FG,Puglia,no,10,,,no,no,no,no,no,no,no,no,no,no,no,FG,Foggia,41.4667,15.55
LESINA,FG,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,FG,Foggia,41.4667,15.55
LUCERA,FG,Puglia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,FG,Foggia,41.4667,15.55
MANFREDONIA,FG,Puglia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,FG,Foggia,41.4667,15.55
ORTA NOVA,FG,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,FG,Foggia,41.4667,15.55
PESCHICI,FG,Puglia,no,12,,,no,no,no,no,no,no,no,no,no,no,no,FG,Foggia,41.4667,15.55
SAN SEVERO,FG,Puglia,si,5,,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,FG,Foggia,41.4667,15.55
ALLISTE,LE,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
CAMPI SALENTINA,LE,Puglia,si,4,2020-07-14,Pdf - Ricercabile,si,si,si,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
CARMIANO,LE,Puglia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
CASARANO,LE,Puglia,si,32,2020-08-26,Pdf - Immagine,si,si,si,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
CASTRIGNANO DEL CAPO,LE,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
CAVALLINO,LE,Puglia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
COPERTINO,LE,Puglia,si,40,2020-09-12,Pdf - Ricercabile,si,si,si,no,si,no,no,si,no,no,no,LE,Lecce,40.35,18.1833
GALATINA,LE,Puglia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
LECCE,LE,Puglia,si,46,2020-09-20,Pdf - Ricercabile,no,si,si,no,si,si,si,si,si,no,no,LE,Lecce,40.35,18.1833
LEQUILE,LE,Puglia,no,33,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
LIZZANELLO,LE,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
MATINO,LE,Puglia,si,5,2020-09-28,Pdf - Ricercabile,si,si,si,no,no,si,si,no,si,no,no,LE,Lecce,40.35,18.1833
MELENDUGNO,LE,Puglia,si,1,2020-09-28,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
MONTERONI DI LECCE,LE,Puglia,si,10,2020-10-09,Pdf - Ricercabile,si,si,si,no,si,si,no,no,no,no,no,LE,Lecce,40.35,18.1833
PARABITA,LE,Puglia,si,5,2020-10-09,Pdf - Ricercabile,si,si,si,si,si,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
PORTO CESAREO,LE,Puglia,si,3,2020-10-12,Pdf - Ricercabile,si,si,si,si,no,si,si,no,si,no,no,LE,Lecce,40.35,18.1833
SALVE,LE,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
SAN DONATO DI LECCE,LE,Puglia,no,17,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
SQUINZANO,LE,Puglia,si,14,2020-10-14,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,LE,Lecce,40.35,18.1833
SURBO,LE,Puglia,si,3,2020-10-14,Pdf - Ricercabile,si,si,si,no,si,si,si,no,si,no,no,LE,Lecce,40.35,18.1833
TAURISANO,LE,Puglia,si,6,2020-10-14,Pdf - Ricercabile,si,si,si,no,si,si,si,no,si,no,no,LE,Lecce,40.35,18.1833
TREPUZZI,LE,Puglia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
UGENTO,LE,Puglia,si,11,2020-10-15,Xls,si,si,si,si,si,si,si,si,si,si,si,LE,Lecce,40.35,18.1833
VERNOLE,LE,Puglia,si,2,2020-10-15,Pdf - Immagine,si,si,si,no,si,no,no,no,no,no,no,LE,Lecce,40.35,18.1833
CASTELLANETA,TA,Puglia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
FRAGAGNANO,TA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
GINOSA,TA,Puglia,si,52,2020-11-05,Xls,no,no,no,no,si,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
LATERZA,TA,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
LEPORANO,TA,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
LIZZANO,TA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
MANDURIA,TA,Puglia,si,30,,Pdf - Ricercabile,si,si,si,no,no,si,si,no,no,no,no,TA,Taranto,40.4667,17.2333
MARTINA FRANCA,TA,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
MASSAFRA,TA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
PALAGIANO,TA,Puglia,si,2,2020-10-09,Pdf - Immagine,si,si,no,si,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
PULSANO,TA,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
SAN GIORGIO IONICO,TA,Puglia,no,17,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
SAN MARZANO DI SAN GIUSEPPE,TA,Puglia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
SAVA,TA,Puglia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
STATTE,TA,Puglia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
TARANTO,TA,Puglia,no,82,,,no,no,no,no,no,no,no,no,no,no,no,TA,Taranto,40.4667,17.2333
ASSEMINI,CA,Sardegna,no,4,,,no,no,no,no,no,no,no,no,no,no,no,CA,Cagliari,39.2167,9.1667
CAGLIARI,CA,Sardegna,si,16,2020-05-18,Ods,si,no,si,si,si,si,no,no,no,no,no,CA,Cagliari,39.2167,9.1667
DOLIANOVA,CA,Sardegna,no,5,,,no,no,no,no,no,no,no,no,no,no,no,SU,Cagliari,39.2167,9.1667
GERGEI,CA,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,SU,Cagliari,39.2167,9.1667
MURAVERA,CA,Sardegna,si,2,2016-10-25,Pdf - Ricercabile,si,no,si,si,si,no,no,no,no,no,no,SU,Cagliari,39.2167,9.1667
QUARTU SANT'ELENA,CA,Sardegna,no,18,,,no,no,no,no,no,no,no,no,no,no,no,CA,Cagliari,39.2167,9.1667
QUARTUCCIU,CA,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CA,Cagliari,39.2167,9.1667
SESTU,CA,Sardegna,no,11,,,no,no,no,no,no,no,no,no,no,no,no,CA,Cagliari,39.2167,9.1667
SINNAI,CA,Sardegna,si,1,2018-01-01,Pdf - Ricercabile,no,si,no,no,si,no,si,no,si,no,no,CA,Cagliari,39.2167,9.1667
UTA,CA,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CA,Cagliari,39.2167,9.1667
VILLASIMIUS,CA,Sardegna,si,20,2017-12-04,Pdf - Ricercabile,si,si,si,si,no,si,no,no,no,no,no,SU,Cagliari,39.2167,9.1667
DORGALI,NU,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,NU,Nuoro,40.3167,9.2667
LULA,NU,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,NU,Nuoro,40.3167,9.2667
ORISTANO,OR,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,OR,Oristano,39.9,8.6
ALGHERO,SS,Sardegna,no,3,,,no,no,no,no,no,no,no,no,no,no,no,SS,Sassari,40.7167,8.5667
SASSARI,SS,Sardegna,si,5,2020-10-05,Ods,si,si,si,no,si,si,si,no,si,si,si,SS,Sassari,40.7167,8.5667
SORSO,SS,Sardegna,no,1,,,no,no,no,no,no,no,no,no,no,no,no,SS,Sassari,40.7167,8.5667
AGRIGENTO,AG,Sicilia,si,28,2019-05-30,Pdf - Immagine,si,si,si,no,si,no,no,si,no,no,no,AG,Agrigento,37.3,13.6
ARAGONA,AG,Sicilia,si,5,2016-03-31,Pdf - Ricercabile,si,si,no,no,si,si,si,no,no,no,no,AG,Agrigento,37.3,13.6
BIVONA,AG,Sicilia,si,3,2016-09-14,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,AG,Agrigento,37.3,13.6
CAMASTRA,AG,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
CAMPOBELLO DI LICATA,AG,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
CASTELTERMINI,AG,Sicilia,si,2,2016-04-28,Immagine,si,si,si,si,si,no,si,si,si,si,si,AG,Agrigento,37.3,13.6
CATTOLICA ERACLEA,AG,Sicilia,si,15,2016-04-26,Immagine,si,si,no,no,si,si,si,si,no,no,no,AG,Agrigento,37.3,13.6
CIANCIANA,AG,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
FAVARA,AG,Sicilia,no,13,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
GROTTE,AG,Sicilia,si,6,2016-05-05,Pdf - Ricercabile,si,si,no,si,si,no,no,no,si,no,no,AG,Agrigento,37.3,13.6
JOPPOLO GIANCAXIO,AG,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
LICATA,AG,Sicilia,si,109,2019-01-21,Immagine,si,si,si,no,si,si,no,no,no,no,no,AG,Agrigento,37.3,13.6
MENFI,AG,Sicilia,si,9,2017-10-31,Doc,si,si,si,no,no,no,si,no,si,no,no,AG,Agrigento,37.3,13.6
MONTEVAGO,AG,Sicilia,si,12,2019-05-27,Pdf - Ricercabile,si,no,si,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
NARO,AG,Sicilia,si,59,2019-05-13,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,AG,Agrigento,37.3,13.6
PALMA DI MONTECHIARO,AG,Sicilia,si,7,2016-03-01,Immagine,si,si,si,no,no,no,no,no,si,no,no,AG,Agrigento,37.3,13.6
PORTO EMPEDOCLE,AG,Sicilia,si,1,,Immagine,no,si,si,si,si,no,si,no,si,si,no,AG,Agrigento,37.3,13.6
RACALMUTO,AG,Sicilia,si,8,2018-09-02,Immagine,si,si,si,si,si,si,si,si,si,si,si,AG,Agrigento,37.3,13.6
RIBERA,AG,Sicilia,si,15,,Pdf - Ricercabile,si,si,si,si,si,no,si,si,si,si,si,AG,Agrigento,37.3,13.6
SAMBUCA DI SICILIA,AG,Sicilia,si,3,2019-12-23,Pdf - Ricercabile,si,no,si,si,no,si,no,no,si,si,no,AG,Agrigento,37.3,13.6
SANTA ELISABETTA,AG,Sicilia,si,2,2016-07-26,Pdf - Ricercabile,si,si,si,si,no,no,si,no,si,si,no,AG,Agrigento,37.3,13.6
SANTA MARGHERITA DI BELICE,AG,Sicilia,no,13,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
SANT'ANGELO MUXARO,AG,Sicilia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,AG,Agrigento,37.3,13.6
SANTO STEFANO QUISQUINA,AG,Sicilia,si,4,2019-03-18,Pdf - Ricercabile,si,si,si,si,si,no,si,si,si,si,si,AG,Agrigento,37.3,13.6
SCIACCA,AG,Sicilia,si,7,2016-08-30,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,si,AG,Agrigento,37.3,13.6
SICULIANA,AG,Sicilia,si,3,2015-12-31,Immagine,no,si,si,no,si,si,no,no,no,no,no,AG,Agrigento,37.3,13.6
BUTERA,CL,Sicilia,si,9,2019-05-08,Immagine,si,si,no,no,no,no,no,no,no,no,no,CL,Caltanisetta,37.4833,14.0667
CALTANISSETTA,CL,Sicilia,si,270,2020-05-12,Pdf - Ricercabile,si,si,si,no,si,si,si,si,no,no,no,CL,Caltanisetta,37.4833,14.0667
GELA,CL,Sicilia,si,52,,Pdf - Ricercabile,si,no,no,si,si,si,no,no,no,no,no,CL,Caltanisetta,37.4833,14.0667
MUSSOMELI,CL,Sicilia,si,23,,Pdf - Ricercabile,si,si,si,si,si,no,no,no,si,si,no,CL,Caltanisetta,37.4833,14.0667
NISCEMI,CL,Sicilia,no,12,,,no,no,no,no,no,no,no,no,no,no,no,CL,Caltanisetta,37.4833,14.0667
RIESI,CL,Sicilia,si,10,2019-05-15,Pdf - Immagine,si,si,si,no,si,si,si,no,si,si,no,CL,Caltanisetta,37.4833,14.0667
SAN CATALDO,CL,Sicilia,no,35,,,no,no,no,no,no,no,no,no,no,no,no,CL,Caltanisetta,37.4833,14.0667
SERRADIFALCO,CL,Sicilia,si,6,2018-07-01,Pdf - Ricercabile,si,si,si,no,no,si,si,si,si,si,no,CL,Caltanisetta,37.4833,14.0667
VALLELUNGA PRATAMENO,CL,Sicilia,si,56,2014-06-24,Tabella online non scaricabile,si,si,si,no,si,no,no,no,no,no,no,CL,Caltanisetta,37.4833,14.0667
ACI BONACCORSI,CT,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
ACI CASTELLO,CT,Sicilia,si,5,2017-12-31,Pdf - Immagine,si,si,si,si,si,si,si,si,si,si,si,CT,Catania,37.5,15.0833
ACI CATENA,CT,Sicilia,si,17,2012-04-24,Tabella online non scaricabile,si,si,si,no,si,no,si,si,si,si,no,CT,Catania,37.5,15.0833
ACI SANT'ANTONIO,CT,Sicilia,no,38,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
ACIREALE,CT,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
ADRANO,CT,Sicilia,si,13,,Pdf - Ricercabile,si,no,si,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
BELPASSO,CT,Sicilia,si,37,2018-12-31,Pdf - Ricercabile,si,si,si,no,si,no,no,si,si,no,no,CT,Catania,37.5,15.0833
CALATABIANO,CT,Sicilia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
CALTAGIRONE,CT,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
CAMPOROTONDO ETNEO,CT,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
CASTEL DI IUDICA,CT,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
